FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
142;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
143;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
144;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
145;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
146;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
147;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0;No Stay;9;1 Wire stay;7;None; ; ;0
148;May; ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;1 Wire stay;7;1; ; ;0
149;May; ;ABC/3BC;TRUE;YES;Wood;11000;INTERMEDIATE;None;Dual;Pole; ;50/50 sqmm;7;0;No Stay;11;No Wire stay;2;1; ; ;0
150;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
151;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
152;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;1 Wire stay;7;None; ; ;0
153;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
154;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;1 Wire stay;7;None; ; ;0
155;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
156;May; ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
157;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
158;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;1 Wire stay;7;None; ; ;0
